|№	    |Дата/время	|Температура	|Осадки (мм)|
| 1	    |2025-05-08T00:00	|0.0	|5.3	|
| 2	    |2025-05-08T01:00	|0.0	|4.9	|
| 3	    |2025-05-08T02:00	|0.0	|4.9	|
| 4	    |2025-05-08T03:00	|0.0	|4.5	|
| 5	    |2025-05-08T04:00	|0.0	|4.6	|
| 6	    |2025-05-08T05:00	|0.0	|4.8	|
| 7	    |2025-05-08T06:00	|0.0	|5.4	|
| 8	    |2025-05-08T07:00	|0.0	|7.3	|
| 9	    |2025-05-08T08:00	|0.0	|8.6	|
| 10	|2025-05-08T09:00	|0.0	|9.4	|
| 11	|2025-05-08T10:00	|0.0	|10.2	|
| 12	|2025-05-08T11:00	|0.0	|10.6	|
| 13	|2025-05-08T12:00	|0.0	|10.8	|
| 14	|2025-05-08T13:00	|0.0	|11.0	|
| 15	|2025-05-08T14:00	|0.0	|10.9	|
| 16	|2025-05-08T15:00	|0.0	|12.1	|
| 17	|2025-05-08T16:00	|0.0	|12.1	|
| 18	|2025-05-08T17:00	|0.0	|12.0	|
| 19	|2025-05-08T18:00	|0.0	|11.8	|
| 20	|2025-05-08T19:00	|0.0	|10.8	|
| 21	|2025-05-08T20:00	|0.0	|9.2	|
| 22	|2025-05-08T21:00	|0.0	|7.1	|
| 23	|2025-05-08T22:00	|0.0	|6.3	|
| 24	|2025-05-08T23:00	|0.0	|5.9	|
